id,title,subtitle,content,html_content,release_date,solved_by_count,difficulty
623,Lambda Count,Problem 623,"
The lambda-calculus is a universal model of computation at the core of functional programming languages. It is based on lambda-terms, a minimal programming language featuring only function definitions, function calls and variables. Lambda-terms are built according to the following rules:
Any variable x (single letter, from some infinite alphabet) is a lambda-term.
If M and N are lambda-terms, then (MN) is a lambda-term, called the application of M to N.
If x is a variable and M is a term, then (λx.M) is a lambda-term, called an abstraction. An abstraction defines an anonymous function, taking x as parameter and sending back M.
A lambda-term T is said to be closed if for all variables x, all occurrences of x within T are contained within some abstraction (λx.M) in T. The smallest such abstraction is said to bind the occurrence of the variable x. In other words, a lambda-term is closed if all its variables are bound to parameters of enclosing functions definitions. For example, the term (λx.x) is closed, while the term (λx.(xy)) is not because y is not bound.
Also, we can rename variables as long as no binding abstraction changes. This means that (λx.x) and (λy.y) should be considered equivalent since we merely renamed a parameter. Two terms equivalent modulo such renaming are called α-equivalent. Note that (λx.(λy.(xy))) and (λx.(λx.(xx))) are not α-equivalent, since the abstraction binding the first variable was the outer one and becomes the inner one. However, (λx.(λy.(xy))) and (λy.(λx.(yx))) are α-equivalent.
The following table regroups the lambda-terms that can be written with at most 15 symbols, symbols being parenthesis, λ, dot and variables.
(λx.x)(λx.(xx))(λx.(λy.x))(λx.(λy.y))(λx.(x(xx)))(λx.((xx)x))(λx.(λy.(xx)))(λx.(λy.(xy)))(λx.(λy.(yx)))(λx.(λy.(yy)))(λx.(x(λy.x)))(λx.(x(λy.y)))(λx.((λy.x)x))(λx.((λy.y)x))((λx.x)(λx.x))(λx.(x(x(xx))))(λx.(x((xx)x)))(λx.((xx)(xx)))(λx.((x(xx))x))(λx.(((xx)x)x))
Let be Λ(n) the number of distinct closed lambda-terms that can be written using at most n symbols, where terms that are α-equivalent to one another should be counted only once. You are given that Λ(6)=1, Λ(9)=2, Λ(15)=20 and Λ(35)=3166438.
Find Λ(2000). Give the answer modulo 1000000007.
","<p>The <i>lambda-calculus</i> is a universal model of computation at the core of functional programming languages. It is based on <i>lambda-terms</i>, a minimal programming language featuring only function definitions, function calls and variables. Lambda-terms are built according to the following rules:</p>
<ul><li>Any <i>variable</i> $x$ (single letter, from some infinite alphabet) is a lambda-term.</li>
<li>If $M$ and $N$ are lambda-terms, then $(M N)$ is a lambda-term, called the <i>application</i> of $M$ to $N$.</li>
<li>If $x$ is a variable and $M$ is a term, then $(\lambda x. M)$ is a lambda-term, called an <i>abstraction</i>. An abstraction defines an anonymous function, taking $x$ as parameter and sending back $M$.</li>
</ul><p>A lambda-term $T$ is said to be <i>closed</i> if for all variables $x$, all occurrences of $x$ within $T$ are contained within some abstraction $(\lambda x. M)$ in $T$. The smallest such abstraction is said to <i>bind</i> the occurrence of the variable $x$. In other words, a lambda-term is closed if all its variables are bound to parameters of enclosing functions definitions. For example, the term $(\lambda x. x)$ is closed, while the term $(\lambda x. (x y))$ is not because $y$ is not bound.</p>

<p>Also, we can rename variables as long as no binding abstraction changes. This means that $(\lambda x. x)$ and $(\lambda y. y)$ should be considered equivalent since we merely renamed a parameter. Two terms equivalent modulo such renaming are called <i>$\alpha$-equivalent</i>. Note that $(\lambda x. (\lambda y. (x y)))$ and $(\lambda x. (\lambda x. (x x)))$ are not $\alpha$-equivalent, since the abstraction binding the first variable was the outer one and becomes the inner one. However, $(\lambda x. (\lambda y. (x y)))$ and $(\lambda y. (\lambda x. (y x)))$ are $\alpha$-equivalent.</p>

<p>The following table regroups the lambda-terms that can be written with at most $15$ symbols, symbols being parenthesis, $\lambda$, dot and variables.</p>

\[\begin{array}{|c|c|c|c|}
\hline
(\lambda x.x) &amp; (\lambda x.(x x)) &amp; (\lambda x.(\lambda y.x)) &amp; (\lambda x.(\lambda y.y)) \\
\hline
(\lambda x.(x (x x))) &amp; (\lambda x.((x x) x)) &amp; (\lambda x.(\lambda y.(x x))) &amp; (\lambda x.(\lambda y.(x y))) \\
\hline
(\lambda x.(\lambda y.(y x))) &amp; (\lambda x.(\lambda y.(y y))) &amp; (\lambda x.(x (\lambda y.x))) &amp; (\lambda x.(x (\lambda y.y))) \\
\hline
(\lambda x.((\lambda y.x) x)) &amp; (\lambda x.((\lambda y.y) x)) &amp; ((\lambda x.x) (\lambda x.x)) &amp; (\lambda x.(x (x (x x)))) \\
\hline
(\lambda x.(x ((x x) x))) &amp; (\lambda x.((x x) (x x))) &amp; (\lambda x.((x (x x)) x)) &amp; (\lambda x.(((x x) x) x)) \\
\hline
\end{array}\]

<p>Let be $\Lambda(n)$ the number of distinct closed lambda-terms that can be written using at most $n$ symbols, where terms that are $\alpha$-equivalent to one another should be counted only once. You are given that $\Lambda(6) = 1$, $\Lambda(9) = 2$, $\Lambda(15) = 20$ and $\Lambda(35) = 3166438$.</p>
<p>Find $\Lambda(2000)$. Give the answer modulo $1\,000\,000\,007$.</p>

",2018-03-25T10:00:00,319,45
624,Two heads are better than one,Problem 624,"

An unbiased coin is tossed repeatedly until two consecutive heads are obtained. Suppose these occur on the (M−1)th and Mth toss.
Let P(n) be the probability that M is divisible by n. For example, the outcomes HH, HTHH, and THTTHH all count towards P(2), but THH and HTTHH do not.

You are given that P(2)=35 and P(3)=931. Indeed, it can be shown that P(n) is always a rational number.

For a prime p and a fully reduced fraction ab, define Q(ab,p) to be the smallest positive q for which a≡bq(modp).
For example Q(P(2),109)=Q(35,109)=66, because 5⋅66=330≡3(mod109) and 66 is the smallest positive such number.
Similarly Q(P(3),109)=46.

Find Q(P(1018),1000000009).
","<p>
An unbiased coin is tossed repeatedly until two consecutive heads are obtained. Suppose these occur on the $(M-1)$th and $M$th toss.<br />
Let $P(n)$ be the probability that $M$ is divisible by $n$. For example, the outcomes HH, HTHH, and THTTHH all count towards $P(2)$, but THH and HTTHH do not.</p>
<p>
You are given that $P(2) =\frac 3 5$ and $P(3)=\frac 9  {31}$. Indeed, it can be shown that $P(n)$ is always a rational number.</p>
<p>
For a prime $p$ and a fully reduced fraction $\frac a b$, define $Q(\frac a b,p)$ to be the smallest positive $q$ for which $a \equiv b q \pmod{p}$.<br />
For example $Q(P(2), 109) = Q(\frac 3 5, 109) = 66$, because $5 \cdot 66 = 330 \equiv 3 \pmod{109}$ and 66 is the smallest positive such number.<br />
Similarly $Q(P(3),109) = 46$.</p>
<p>
Find $Q(P(10^{18}),1\,000\,000\,009)$.</p>
",2018-04-07T13:00:00,627,30
625,Gcd sum,Problem 625,"

G(N)=∑j=1N∑i=1jgcd(i,j). 
You are given: G(10)=122.

Find G(1011). Give your answer modulo 998244353

","<p>
$G(N)=\sum_{j=1}^N\sum_{i=1}^j \text{gcd}(i,j)$. <br />
You are given: $G(10)=122$.</p>
<p>
Find $G(10^{11})$. Give your answer modulo 998244353
</p>





",2018-04-21T16:00:00,608,35
626,Counting Binary Matrices,Problem 626,"
A binary matrix is a matrix consisting entirely of 0s and 1s. Consider the following transformations that can be performed on a binary matrix:
Swap any two rows
Swap any two columns
Flip all elements in a single row (1s become 0s, 0s become 1s)
Flip all elements in a single column
Two binary matrices A and B will be considered equivalent if there is a sequence of such transformations that when applied to A yields B. For example, the following two matrices are equivalent:
A=(101001000)B=(000100001)
via the sequence of two transformations ""Flip all elements in column 3"" followed by ""Swap rows 1 and 2"".
Define c(n) to be the maximum number of n×n binary matrices that can be found such that no two are equivalent. For example, c(3)=3. You are also given that c(5)=39 and c(8)=656108.
Find c(20), and give your answer modulo 1001001011.
","<p>A binary matrix is a matrix consisting entirely of 0s and 1s. Consider the following transformations that can be performed on a binary matrix:</p>

<ul><li>Swap any two rows</li>
<li>Swap any two columns</li>
<li>Flip all elements in a single row (1s become 0s, 0s become 1s)</li>
<li>Flip all elements in a single column</li>
</ul><p>Two binary matrices $A$ and $B$ will be considered <i>equivalent</i> if there is a sequence of such transformations that when applied to $A$ yields $B$. For example, the following two matrices are equivalent:</p>
$A=\begin{pmatrix} 
  1 &amp; 0 &amp; 1 \\ 
  0 &amp; 0 &amp; 1 \\
  0 &amp; 0 &amp; 0 \\
\end{pmatrix} \quad B=\begin{pmatrix} 
  0 &amp; 0 &amp; 0 \\ 
  1 &amp; 0 &amp; 0 \\
  0 &amp; 0 &amp; 1 \\
\end{pmatrix}$
<p>via the sequence of two transformations ""Flip all elements in column 3"" followed by ""Swap rows 1 and 2"".</p>

<p>Define $c(n)$ to be the maximum number of $n\times n$ binary matrices that can be found such that no two are equivalent. For example, $c(3)=3$. You are also given that $c(5)=39$ and $c(8)=656108$.</p>

<p>Find $c(20)$, and give your answer modulo $1\,001\,001\,011$.</p>

",2018-05-05T19:00:00,224,70
627,Counting products,Problem 627,"
Consider the set S of all possible products of n positive integers not exceeding m, that is
S={x1x2…xn|1≤x1,x2,...,xn≤m}.

Let F(m,n) be the number of the distinct elements of the set S.
For example, F(9,2)=36 and F(30,2)=308.
Find F(30,10001) mod 1000000007.
","<p>Consider the set $S$ of all possible products of $n$ positive integers not exceeding $m$, that is<br /> 
$S=\{ x_1x_2\dots x_n \, | \, 1 \le x_1, x_2, ..., x_n \le m \}$.<br />

Let $F(m,n)$ be the number of the distinct elements of the set $S$.<br />
For example, $F(9, 2) = 36$ and $F(30,2)=308$.</p>

<p>Find $F(30, 10001)\text{ mod }1\,000\,000\,007$.</p>
",2018-05-19T22:00:00,238,60
628,Open chess positions,Problem 628,"

A position in chess is an (orientated) arrangement of chess pieces placed on a chessboard of given size. In the following, we consider all positions in which n pawns are placed on a  n×n  
board in such a way, that there is a single pawn in every row and every column.



We call such a position an open position, if a rook, starting at the (empty) lower left corner and using only moves towards the right or upwards, can reach the upper right corner without moving onto any field occupied by a pawn. 

Let f(n) be the number of open positions for a n×n chessboard.
For example, f(3)=2, illustrated by the two open positions for a 3×3 chessboard below.




You are also given f(5)=70.
Find f(108) modulo 1008691207.
","<p>
A position in chess is an (orientated) arrangement of chess pieces placed on a chessboard of given size. In the following, we consider all positions in which $n$ pawns are placed on a  $n \times n$  
board in such a way, that there is a single pawn in every row and every column.

</p>
<p>
We call such a position an <i>open</i> position, if a rook, starting at the (empty) lower left corner and using only moves towards the right or upwards, can reach the upper right corner without moving onto any field occupied by a pawn. 
</p>
<p>Let $f(n)$ be the number of open positions for a $n \times n$ chessboard.<br />
For example, $f(3)=2$, illustrated by the two open positions for a $3  \times 3$ chessboard below.

</p>
<table align=""center""><tr><td><img src=""https://projecteuler.net/project/images/p628_chess4.png"" alt=""Open position 1"" /></td><td width=""60""></td><td><img src=""https://projecteuler.net/project/images/p628_chess5.png"" alt=""Open position 2"" /></td>
</tr></table><p>
You are also given $f(5)=70$.</p>
<p>Find $f(10^8)$ modulo $1\,008\,691\,207$.</p>




",2018-06-03T01:00:00,788,30
629,Scatterstone Nim,Problem 629,"
Alice and Bob are playing a modified game of Nim called Scatterstone Nim, with Alice going first, alternating turns with Bob. The game begins with an arbitrary set of stone piles with a total number of stones equal to n.
During a player's turn, he/she must pick a pile having at least 2 stones and perform a split operation, dividing the pile into an arbitrary set of p non-empty, arbitrarily-sized piles where 2≤p≤k for some fixed constant k. For example, a pile of size 4 can be split into {1,3} or {2,2}, or {1,1,2} if k=3 and in addition {1,1,1,1} if k=4.
If no valid move is possible on a given turn, then the other player wins the game.
A winning position is defined as a set of stone piles where a player can ultimately ensure victory no matter what the other player does. 
Let f(n,k) be the number of winning positions for Alice on her first turn, given parameters n and k. For example, f(5,2)=3 with winning positions {1,1,1,2},{1,4},{2,3}. In contrast, f(5,3)=5 with winning positions {1,1,1,2},{1,1,3},{1,4},{2,3},{5}.
Let g(n) be the sum of f(n,k) over all 2≤k≤n. For example, g(7)=66 and g(10)=291.
Find g(200) mod (109+7).
","<p>Alice and Bob are playing a modified game of Nim called Scatterstone Nim, with Alice going first, alternating turns with Bob. The game begins with an arbitrary set of stone piles with a total number of stones equal to $n$.</p>

<p>During a player's turn, he/she must pick a pile having at least $2$ stones and perform a split operation, dividing the pile into an arbitrary set of $p$ non-empty, arbitrarily-sized piles where $2 \leq p \leq k$ for some fixed constant $k$. For example, a pile of size $4$ can be split into $\{1, 3\}$ or $\{2, 2\}$, or $\{1, 1, 2\}$ if $k = 3$ and in addition $\{1, 1, 1, 1\}$ if $k = 4$.</p>

<p>If no valid move is possible on a given turn, then the other player wins the game.</p>

<p>A winning position is defined as a set of stone piles where a player can ultimately ensure victory no matter what the other player does. </p>

<p>Let $f(n,k)$ be the number of winning positions for Alice on her first turn, given parameters $n$ and $k$. For example, $f(5, 2) = 3$ with winning positions $\{1, 1, 1, 2\}, \{1, 4\}, \{2, 3\}$. In contrast, $f(5, 3) = 5$ with winning positions $\{1, 1, 1, 2\}, \{1, 1, 3\}, \{1, 4\}, \{2, 3\}, \{5\}$.</p>

<p>Let $g(n)$ be the sum of $f(n,k)$ over all $2 \leq k \leq n$. For example, $g(7)=66$ and $g(10)=291$.</p>

<p>Find $g(200)$ mod $(10^9 + 7)$.</p>
",2018-06-17T04:00:00,238,55
630,Crossed lines,Problem 630,"

Given a set, L, of unique lines, let M(L) be the number of lines in the set and let S(L) be the sum over every line of the number of times that line is crossed by another line in the set.  For example, two sets of three lines are shown below:



In both cases M(L) is 3 and S(L) is 6: each of the three lines is crossed by two other lines.  Note that even if the lines cross at a single point, all of the separate crossings of lines are counted.


Consider points (T2k−1, T2k), for integer k >=1, generated in the following way:


S0=290797
Sn+1=Sn2mod50515093
Tn=( Snmod2000 )−1000


For example, the first three points are: (527, 144), (−488, 732), (−454, −947).  Given the first n points generated in this manner, let Ln be the set of unique lines that can be formed by joining each point with every other point, the lines being extended indefinitely in both directions.  We can then define M(Ln) and S(Ln) as described above.


For example, M(L3)=3 and S(L3)=6.  Also M(L100)=4948 and S(L100)=24477690.

Find S(L2500).

","<p>
Given a set, $L$, of unique lines, let $M(L)$ be the number of lines in the set and let $S(L)$ be the sum over every line of the number of times that line is crossed by another line in the set.  For example, two sets of three lines are shown below:
</p>
<div align=""center""><img src=""https://projecteuler.net/project/images/p630_threelines.png"" alt=""crossed lines"" /></div>
<p>
In both cases M(L) is 3 and S(L) is 6: each of the three lines is crossed by two other lines.  Note that even if the lines cross at a single point, all of the separate crossings of lines are counted.
</p>
<p>
Consider points ($T_{2k−1}$, $T_{2k}$), for integer $k &gt;= 1$, generated in the following way:
</p>
<p>
$S_0 	=  	290797$<br /> 
$S_{n+1} 	=  	{S_n}^2 \:\: \rm{mod} \:\: 50515093$<br />
$T_n 	=  	( S_n \:\: \rm{mod} \:\: 2000 ) − 1000$
</p>
<p>
For example, the first three points are: (527, 144), (−488, 732), (−454, −947).  Given the first $n$ points generated in this manner, let $L_n$ be the set of <b>unique</b> lines that can be formed by joining each point with every other point, the lines being extended indefinitely in both directions.  We can then define $M(L_n)$ and $S(L_n)$ as described above.
</p>
<p>
For example, $M(L_3) = 3$ and $S(L_3) = 6$.  Also $M(L_{100}) = 4948$ and $S(L_{100}) = 24477690$.
</p><p>
Find $S(L_{2500})$.
</p>


",2018-07-01T07:00:00,1000,20
631,Constrained Permutations,Problem 631,"
Let (p1p2…pk) denote the permutation of the set 1,...,k that maps pi↦i. Define the length of the permutation to be k; note that the empty permutation () has length zero.
Define an occurrence of a permutation p=(p1p2…pk) in a permutation P=(P1P2…Pn) to be a sequence 1≤t1<t2<⋯<tk≤n such that pi<pj if and only if Pti<Ptj for all i,j∈{1,...,k}.
For example, (1243) occurs twice in the permutation (314625): once as the 1st, 3rd, 4th and 6th elements (3465), and once as the 2nd, 3rd, 4th and 6th elements (1465).
Let f(n,m) be the number of permutations P of length at most n such that there is no occurrence of the permutation 1243 in P and there are at most m occurrences of the permutation 21 in P.
For example, f(2,0)=3, with the permutations (), (1), (1,2) but not (2,1).
You are also given that f(4,5)=32 and f(10,25)=294400.
Find f(1018,40) modulo 1000000007.
","<p>Let $(p_1 p_2 \ldots p_k)$ denote the permutation of the set ${1, ..., k}$ that maps $p_i\mapsto i$. Define the length of the permutation to be $k$; note that the empty permutation $()$ has length zero.</p>

<p>Define an <i>occurrence</i> of a permutation $p=(p_1 p_2 \ldots p_k)$ in a permutation $P=(P_1 P_2 \ldots P_n)$ to be a sequence $1\leq t_1 &lt; t_2 &lt; \cdots &lt; t_k \leq n$ such that $p_i &lt; p_j$ if and only if $P_{t_i} &lt; P_{t_j}$ for all $i,j \in \{1, ..., k\}$.</p>

<p>For example, $(1243)$ occurs twice in the permutation $(314625)$: once as the 1st, 3rd, 4th and 6th elements $(3\,\,46\,\,5)$, and once as the 2nd, 3rd, 4th and 6th elements $(\,\,146\,\,5)$.</p>

<p>Let $f(n, m)$ be the number of permutations $P$ of length at most $n$ such that there is no occurrence of the permutation $1243$ in $P$ and there are at most $m$ occurrences of the permutation $21$ in $P$.</p>

<p>For example, $f(2,0) = 3$, with the permutations $()$, $(1)$, $(1,2)$ but not $(2,1)$.</p>

<p>You are also given that $f(4, 5) = 32$ and $f(10, 25) = 294\,400$.</p>

<p>Find $f(10^{18}, 40)$ modulo $1\,000\,000\,007$.</p>

",2018-07-15T10:00:00,193,65
632,Square prime factors,Problem 632,"
For an integer n, we define the square prime factors of n to be the primes whose square divides n. For example, the square prime factors of 1500=22×3×53 are 2 and 5.
Let Ck(N) be the number of integers between 1 and N inclusive with exactly k square prime factors. You are given some values of Ck(N) in the table below.
k=0k=1k=2k=3k=4k=5N=10730000N=10261363000N=10360834348100N=104608333635332100N=1056079433562534529720N=106607926335438533583218600N=10760792913353956533140327778342N=10860792694335391965329747329028925778
Find the product of all non-zero Ck(1016). Give the result reduced modulo 1000000007.
","<p>For an integer $n$, we define the <i>square prime factors</i> of $n$ to be the primes whose square divides $n$. For example, the square prime factors of $1500=2^2 \times 3 \times 5^3$ are $2$ and $5$.</p>

<p>Let $C_k(N)$ be the number of integers between $1$ and $N$ inclusive with exactly $k$ square prime factors. You are given some values of $C_k(N)$ in the table below.</p>


\[\begin{array}{|c|c|c|c|c|c|c|}
\hline

&amp; k = 0 &amp; k = 1 &amp; k = 2 &amp; k = 3 &amp; k = 4 &amp; k = 5 \\
\hline
N=10 &amp; 7 &amp; 3 &amp; 0 &amp; 0 &amp; 0 &amp; 0 \\
\hline
N=10^2 &amp; 61 &amp; 36 &amp; 3 &amp; 0 &amp; 0 &amp; 0 \\
\hline
N=10^3 &amp; 608 &amp; 343 &amp; 48 &amp; 1 &amp; 0 &amp; 0 \\
\hline
N=10^4 &amp; 6083 &amp; 3363 &amp; 533 &amp; 21 &amp; 0 &amp; 0 \\
\hline
N=10^5 &amp; 60794 &amp; 33562 &amp; 5345 &amp; 297 &amp; 2 &amp; 0 \\
\hline
N=10^6 &amp; 607926 &amp; 335438 &amp; 53358 &amp; 3218 &amp; 60 &amp; 0 \\
\hline
N=10^7 &amp; 6079291 &amp; 3353956 &amp; 533140 &amp; 32777 &amp; 834 &amp; 2 \\
\hline
N=10^8 &amp; 60792694 &amp; 33539196 &amp; 5329747 &amp; 329028 &amp; 9257 &amp; 78 \\
\hline
\end{array}\]


<p>Find the product of all non-zero $C_k(10^{16})$. Give the result reduced modulo $1\,000\,000\,007$.</p>

",2018-07-28T13:00:00,473,35
633,Square prime factors II,Problem 633,"
For an integer n, we define the square prime factors of n to be the primes whose square divides n. For example, the square prime factors of 1500=22×3×53 are 2 and 5.
Let Ck(N) be the number of integers between 1 and N inclusive with exactly k square prime factors. It can be shown that with growing N the ratio Ck(N)N gets arbitrarily close to a constant ck∞, as suggested by the table below.
k=0k=1k=2k=3k=4Ck(10)73000Ck(102)6136300Ck(103)6083434810Ck(104)60833363533210Ck(105)607943356253452972Ck(106)60792633543853358321860Ck(107)6079291335395653314032777834Ck(108)607926943353919653297473290289257Ck(109)60792712433538970653294365329179195821ck∞6π23.3539×10−15.3293×10−23.2921×10−39.7046×10−5
Find c7∞. Give the result in scientific notation rounded to 5 significant digits, using a e to separate mantissa and exponent. E.g. if the answer were 0.000123456789, then the answer format would be 1.2346e-4.

","<p>For an integer $n$, we define the <i>square prime factors</i> of $n$ to be the primes whose square divides $n$. For example, the square prime factors of $1500=2^2 \times 3 \times 5^3$ are $2$ and $5$.</p>

<p>Let $C_k(N)$ be the number of integers between $1$ and $N$ inclusive with exactly $k$ square prime factors. It can be shown that with growing $N$ the ratio $\frac{C_k(N)}{N}$ gets arbitrarily close to a constant $c_{k}^{\infty}$, as suggested by the table below.</p>

\[\begin{array}{|c|c|c|c|c|c|}
\hline
&amp; k = 0 &amp; k = 1 &amp; k = 2 &amp; k = 3 &amp; k = 4 \\
\hline
C_k(10) &amp; 7 &amp; 3 &amp; 0 &amp; 0 &amp; 0 \\
\hline
C_k(10^2) &amp; 61 &amp; 36 &amp; 3 &amp; 0 &amp; 0 \\
\hline
C_k(10^3) &amp; 608 &amp; 343 &amp; 48 &amp; 1 &amp; 0 \\
\hline
C_k(10^4) &amp; 6083 &amp; 3363 &amp; 533 &amp; 21 &amp; 0 \\
\hline
C_k(10^5) &amp; 60794 &amp; 33562 &amp; 5345 &amp; 297 &amp; 2 \\
\hline
C_k(10^6) &amp; 607926 &amp; 335438 &amp; 53358 &amp; 3218 &amp; 60 \\
\hline
C_k(10^7) &amp; 6079291 &amp; 3353956 &amp; 533140 &amp; 32777 &amp; 834 \\
\hline
C_k(10^8) &amp; 60792694 &amp; 33539196 &amp; 5329747 &amp;  329028 &amp; 9257 \\
\hline
C_k(10^9) &amp; 607927124 &amp; 335389706 &amp; 53294365 &amp; 3291791 &amp; 95821 \\
\hline
c_k^{\infty} &amp; \frac{6}{\pi^2} &amp; 3.3539\times 10^{-1} &amp; 5.3293\times 10^{-2} &amp; 3.2921\times 10^{-3} &amp; 9.7046\times 10^{-5}\\
\hline
\end{array}\]
Find $c_{7}^{\infty}$. Give the result in scientific notation rounded to 5 significant digits, using a $e$ to separate mantissa and exponent. E.g. if the answer were $0.000123456789$, then the answer format would be $1.2346e\text{-}4$.

",2018-07-28T13:00:00,314,50
634,Numbers of the form a2b3,Problem 634,"

Define F(n) to be the number of integers x≤n that can be written in the form x=a2b3, where a and b are integers not necessarily different and both greater than 1.

For example, 32=22×23  and 72=32×23 are the only two integers less than 100 that can be written in this form. Hence, F(100)=2.


Further you are given F(2×104)=130 and F(3×106)=2014.


Find F(9×1018).

","<p>
Define $F(n)$ to be the number of integers $x≤n$ that can be written in the form $x=a^2b^3$, where $a$ and $b$ are integers not necessarily different and both greater than 1.</p>
<p>
For example, $32=2^2\times 2^3$  and $72=3^2\times 2^3$ are the only two integers less than 100 that can be written in this form. Hence, $F(100)=2$.
</p>
<p>
Further you are given $F(2\times 10^4)=130$ and $F(3\times 10^6)=2014$.
</p>
<p>
Find $F(9\times 10^{18})$.
</p>
",2018-08-11T16:00:00,608,40
635,Subset sums,Problem 635,"

Let Aq(n) be the number of subsets, B, of the set {1,2,...,q⋅n} that satisfy two conditions:
1) B has exactly n elements;
2) the sum of the elements of B is divisible by n.


E.g. A2(5)=52 and A3(5)=603.

Let Sq(L) be ∑Aq(p) where the sum is taken over all primes p≤L.
E.g. S2(10)=554, S2(100) mod 1000000009=100433628 and S3(100) mod 1000000009=855618282.


Find S2(108)+S3(108). Give your answer modulo 1000000009.

","<p>
Let $A_q(n)$ be the number of subsets, $B$, of the set $\{1, 2, ..., q \cdot n\}$ that satisfy two conditions:<br />
1) $B$ has exactly $n$ elements;<br />
2) the sum of the elements of $B$ is divisible by $n$.
</p>
<p>
E.g. $A_2(5)=52$ and $A_3(5)=603$.
</p>
Let $S_q(L)$ be $\sum A_q(p)$ where the sum is taken over all primes $p \le L$.<br />
E.g. $S_2(10)=554$, $S_2(100)$ mod $1\,000\,000\,009=100433628$ and<br /> $S_3(100)$ mod $1\,000\,000\,009=855618282$.

<p>
Find $S_2(10^8)+S_3(10^8)$. Give your answer modulo $1\,000\,000\,009$.
</p>


",2018-08-25T19:00:00,338,40
636,Restricted Factorisations,Problem 636,"
Consider writing a natural number as product of powers of natural numbers with given exponents, additionally requiring different base numbers for each power.
For example, 256 can be written as a product of a square and a fourth power in three ways such that the base numbers are different.
That is, 256=12×44=42×24=162×14
Though 42 and 24 are both equal, we are concerned only about the base numbers in this problem. Note that permutations are not considered distinct, for example 162×14 and 14×162 are considered to be the same.
Similarly, 10! can be written as a product of one natural number, two squares and three cubes in two ways (10!=42×52×42×33×23×13=21×52×22×43×33×13) whereas 20! can be given the same representation in 41680 ways.
Let F(n) denote the number of ways in which n can be written as a product of one natural number, two squares, three cubes and four fourth powers.
You are given that F(25!)=4933, F(100!)mod1000000007=693952493,
and F(1000!)mod1000000007=6364496.
Find F(1000000!)mod1000000007.
","<p>Consider writing a natural number as product of powers of natural numbers with given exponents, additionally requiring different base numbers for each power.</p>

<p>For example, $256$ can be written as a product of a square and a fourth power in three ways such that the base numbers are different.<br />
That is, $256=1^2\times 4^4=4^2\times 2^4=16^2\times 1^4$</p>

<p>Though $4^2$ and $2^4$ are both equal, we are concerned only about the base numbers in this problem. Note that permutations are not considered distinct, for example $16^2\times 1^4$ and $1^4 \times 16^2$ are considered to be the same.</p>

<p>Similarly, $10!$ can be written as a product of one natural number, two squares and three cubes in two ways ($10!=42\times5^2\times4^2\times3^3\times2^3\times1^3=21\times5^2\times2^2\times4^3\times3^3\times1^3$) whereas $20!$ can be given the same representation in $41680$ ways.</p>

<p>Let $F(n)$ denote the number of ways in which $n$ can be written as a product of one natural number, two squares, three cubes and four fourth powers.</p>

<p>You are given that $F(25!)=4933$, $F(100!) \bmod 1\,000\,000\,007=693\,952\,493$,<br />
and $F(1\,000!) \bmod 1\,000\,000\,007=6\,364\,496$.</p>

<p>Find $F(1\,000\,000!) \bmod 1\,000\,000\,007$.</p>
",2018-09-08T22:00:00,190,90
637,Flexible digit sum,Problem 637,"

Given any positive integer n, we can construct a new integer by inserting plus signs between some of the digits of the base B representation of n, and then carrying out the additions.


For example, from n=12310  (n in base 10) we can construct the four base 10 integers 12310,  1+23=2410, 12+3=1510 and 1+2+3=610


Let f(n,B)  be the smallest number of steps needed to arrive at a single-digit number in base B. For example, f(7,10)=0 and f(123,10)=1.


Let g(n,B1,B2) be the sum of the positive integers i not exceeding n such that f(i,B1)=f(i,B2).


You are given g(100,10,3)=3302. 


Find g(107,10,3)

","<p>
Given any positive integer $n$, we can construct a new integer by inserting plus signs between some of the digits of the base $B$ representation of $n$, and then carrying out the additions.
</p>
<p>
For example, from $n=123_{10}$  ($n$ in base 10) we can construct the four base 10 integers $123_{10}$,  $1+23=24_{10}$, $12+3=15_{10}$ and $1+2+3=6_{10}$
</p>
<p>
Let $f(n,B)$  be the smallest number of steps needed to arrive at a single-digit number in base $B$. For example, $f(7,10)=0$ and $f(123,10)=1$.
</p>
<p>
Let $g(n,B_1,B_2)$ be the sum of the positive integers $i$ not exceeding $n$ such that $f(i,B_1)=f(i,B_2)$.
</p>
<p>
You are given $g(100,10,3)=3302$. 
</p>
<p>
Find $g(10^7,10,3)$
</p>
",2018-09-23T01:00:00,319,45
